Temp [deg C],X_accel [g],Y_accel [g],Z_accel [g]
22.237569,-0.914888,0.051680,0.074385
22.348066,-0.914660,0.053694,0.076950
22.127072,-0.913539,0.057570,0.078831
22.348066,-0.917016,0.056031,0.076798
22.237569,-0.914869,0.050293,0.076532
22.237569,-0.917605,0.059261,0.077140
22.237569,-0.911753,0.056392,0.078926
22.458564,-0.932881,0.062225,0.077425
22.348066,-0.921633,0.062377,0.076361
22.127072,-0.923210,0.059337,0.074841
22.348066,-0.912608,0.052003,0.078793
22.348066,-0.912817,0.053295,0.075069
22.237569,-0.911506,0.055005,0.074936
22.348066,-0.915705,0.054340,0.075544
22.348066,-0.914641,0.054682,0.079401
22.237569,-0.916503,0.057513,0.077083
22.237569,-0.918156,0.052839,0.076893
22.237569,-0.917567,0.052725,0.079534
22.348066,-0.916674,0.055746,0.078964
22.237569,-0.912171,0.053428,0.075449
22.237569,-0.917491,0.052345,0.076589
22.237569,-0.912361,0.052250,0.078318
22.127072,-0.915154,0.055765,0.077938
22.016575,-0.907459,0.056392,0.076760
22.348066,-0.913235,0.055366,0.074613
22.237569,-0.918669,0.053808,0.079154
22.237569,-0.914508,0.055328,0.075449
22.348066,-0.914318,0.055765,0.074898
22.016575,-0.916503,0.057570,0.074480
22.237569,-0.912361,0.053789,0.076266
22.237569,-0.913311,0.058520,0.077083
22.348066,-0.913349,0.054549,0.075012
22.348066,-0.917301,0.057095,0.078698
22.237569,-0.918726,0.057228,0.075905
22.348066,-0.919277,0.056392,0.075449
22.348066,-0.911639,0.056202,0.079610
22.348066,-0.913900,0.051756,0.073549
22.458564,-0.913311,0.055860,0.077482
22.348066,-0.912057,0.054796,0.073796
22.237569,-0.912893,0.056658,0.074499
22.237569,-0.913995,0.054986,0.078147
22.458564,-0.916541,0.056069,0.078451
22.237569,-0.913216,0.058007,0.076190
22.237569,-0.914546,0.055689,0.071744
22.237569,-0.914565,0.053960,0.077501
22.237569,-0.914166,0.054093,0.078242
22.348066,-0.913083,0.055936,0.079040
22.237569,-0.917605,0.057000,0.076266
22.237569,-0.922317,0.053447,0.077900
22.348066,-0.913672,0.055024,0.078109
22.237569,-0.915990,0.057646,0.076152
22.237569,-0.913292,0.054682,0.075525
22.348066,-0.913539,0.056943,0.074214
22.237569,-0.918061,0.055518,0.074176
22.348066,-0.911981,0.056734,0.078394
22.237569,-0.916180,0.056981,0.074518
22.348066,-0.918289,0.057551,0.079781
22.348066,-0.912437,0.053086,0.078242
22.348066,-0.913786,0.051832,0.077026
22.348066,-0.916959,0.055100,0.081168
22.348066,-0.914033,0.054929,0.076684
22.016575,-0.910879,0.055100,0.077862
22.237569,-0.919505,0.054093,0.077501
22.348066,-0.920949,0.055651,0.079230
22.127072,-0.909188,0.050464,0.076665
22.237569,-0.914280,0.057209,0.076532
22.348066,-0.915268,0.056829,0.073131
22.237569,-0.916465,0.055176,0.078698
22.127072,-0.915439,0.050350,0.079097
22.348066,-0.914128,0.050578,0.080237
22.348066,-0.910214,0.057076,0.076646
22.348066,-0.917966,0.056639,0.081586
22.237569,-0.914052,0.056107,0.078641
22.348066,-0.912247,0.051870,0.079648
22.127072,-0.918213,0.050882,0.076114
22.348066,-0.909967,0.057266,0.078850
22.237569,-0.912760,0.057494,0.075221
22.127072,-0.915591,0.055841,0.076665
22.348066,-0.911259,0.051699,0.075848
22.237569,-0.913311,0.004978,0.152836
22.237569,-0.914394,0.061142,0.063004
22.348066,-0.915458,0.055784,0.078888
22.348066,-0.922545,0.052250,0.073435
22.237569,-0.976923,0.035302,0.108699
22.348066,-1.008292,0.161177,0.227297
22.237569,-0.416898,0.160626,0.719511
22.237569,-0.350075,0.093499,1.163598
